number,element,Z,line,energy_keV,intensity,error
2,B,5,Ka2,0.183,0.056,0.023
1,B,5,Ka1,0.183,0.11,0.05
3,C,6,Ka1,0.277,0.19,0.08
4,C,6,Ka2,0.277,0.09,0.04
5,N,7,Ka1,0.392,0.35,0.14
6,N,7,Ka2,0.392,0.17,0.07
7,O,8,Ka1,0.525,0.55,0.22
8,O,8,Ka2,0.525,0.28,0.11
9,F,9,Ka1,0.677,0.9,0.4
10,F,9,Ka2,0.677,0.43,0.17
12,Ne,10,Ka2,0.848,0.6,0.06
11,Ne,10,Ka1,0.849,1.2,0.12
13,Na,11,Ka1,1.041,1.53,0.16
14,Na,11,Ka2,1.041,0.77,0.08
16,Mg,12,Ka2,1.254,1,0.1
15,Mg,12,Ka1,1.254,2,0.2
18,Al,13,Ka2,1.486,1.29,0.13
17,Al,13,Ka1,1.487,2.6,0.3
19,Al,13,Kb1,1.554,0.0155,0.0016
20,Al,13,Kb3,1.554,0.0079,0.0008
22,Si,14,Ka2,1.739,1.64,0.17
21,Si,14,Ka1,1.74,3.3,0.3
23,Si,14,Kb1,1.836,0.056,0.006
24,Si,14,Kb3,1.836,0.028,0.003
26,P,15,Ka2,2.009,2.04,0.21
25,P,15,Ka1,2.01,4.1,0.4
27,P,15,Kb1,2.136,0.122,0.012
28,P,15,Kb3,2.136,0.062,0.006
30,S,16,Ka2,2.307,2.49,0.25
29,S,16,Ka1,2.308,5,0.5
31,S,16,Kb1,2.464,0.229,0.023
32,S,16,Kb3,2.464,0.116,0.012
34,Cl,17,Ka2,2.621,3,0.3
33,Cl,17,Ka1,2.622,6.1,0.6
35,Cl,17,Kb1,2.816,0.38,0.04
36,Cl,17,Kb3,2.816,0.192,0.02
41,Ar,18,Lb1,0.251,0.011,0.003
43,Ar,18,Lb4,0.31,0.0024,0.0009
42,Ar,18,Lb3,0.31,0.0038,0.0013
38,Ar,18,Ka2,2.955,3.6,0.4
37,Ar,18,Ka1,2.957,7.3,0.7
39,Ar,18,Kb1,3.19,0.58,0.06
40,Ar,18,Kb3,3.19,0.3,0.03
48,K,19,Lb1,0.296,0.013,0.004
49,K,19,Lb3,0.359,0.005,0.0017
50,K,19,Lb4,0.359,0.001,0.0005
45,K,19,Ka2,3.311,4.3,0.4
44,K,19,Ka1,3.314,8.5,0.9
46,K,19,Kb1,3.59,0.79,0.08
47,K,19,Kb3,3.59,0.4,0.04
55,Ca,20,Lb1,0.35,0.016,0.004
56,Ca,20,Lb3,0.412,0.0062,0.0019
57,Ca,20,Lb4,0.412,0.0039,0.0012
52,Ca,20,Ka2,3.688,4.93,0.22
51,Ca,20,Ka1,3.692,9.8,0.4
53,Ca,20,Kb1,4.013,1.02,0.05
54,Ca,20,Kb3,4.013,0.519,0.023
69,Sc,21,Ll,0.348,0.026,0.007
68,Sc,21,Ln,0.353,0.02,0.005
62,Sc,21,La1,0.396,0.026,0.007
63,Sc,21,La2,0.396,0.0028,0.0007
64,Sc,21,Lb1,0.4,0.02,0.005
67,Sc,21,Lb6,0.402,0.0017,0.0004
65,Sc,21,Lb3,0.468,0.0075,0.0023
66,Sc,21,Lb4,0.468,0.0048,0.0015
59,Sc,21,Ka2,4.086,5.68,0.25
58,Sc,21,Ka1,4.091,11.3,0.5
61,Sc,21,Kb3,4.461,0.62,0.03
60,Sc,21,Kb1,4.461,1.22,0.06
81,Ti,22,Ll,0.395,0.029,0.008
80,Ti,22,Ln,0.401,0.022,0.006
74,Ti,22,La1,0.452,0.063,0.016
75,Ti,22,La2,0.452,0.007,0.0018
79,Ti,22,Lb6,0.456,0.0018,0.0005
76,Ti,22,Lb1,0.458,0.05,0.012
77,Ti,22,Lb3,0.529,0.009,0.003
78,Ti,22,Lb4,0.529,0.0056,0.0017
71,Ti,22,Ka2,4.505,6.4,0.3
70,Ti,22,Ka1,4.511,12.8,0.6
73,Ti,22,Kb3,4.932,0.72,0.03
72,Ti,22,Kb1,4.932,1.42,0.06
93,V,23,Ll,0.446,0.034,0.009
92,V,23,Ln,0.454,0.026,0.007
86,V,23,La1,0.511,0.12,0.03
87,V,23,La2,0.511,0.013,0.003
91,V,23,Lb6,0.513,0.0022,0.0006
88,V,23,Lb1,0.518,0.096,0.024
89,V,23,Lb3,0.59,0.01,0.003
90,V,23,Lb4,0.59,0.0067,0.002
83,V,23,Ka2,4.945,7.3,0.3
82,V,23,Ka1,4.952,14.5,0.7
84,V,23,Kb1,5.427,1.64,0.07
85,V,23,Kb3,5.427,0.84,0.04
104,Cr,24,Ll,0.5,0.033,0.009
103,Cr,24,Ln,0.51,0.025,0.006
98,Cr,24,La1,0.572,0.19,0.05
99,Cr,24,La2,0.572,0.021,0.005
100,Cr,24,Lb1,0.581,0.15,0.04
101,Cr,24,Lb3,0.652,0.012,0.004
102,Cr,24,Lb4,0.652,0.0079,0.0024
95,Cr,24,Ka2,5.405,8.3,0.4
94,Cr,24,Ka1,5.415,16.4,0.7
97,Cr,24,Kb3,5.947,0.94,0.04
96,Cr,24,Kb1,5.947,1.84,0.08
116,Mn,25,Ll,0.556,0.038,0.01
115,Mn,25,Ln,0.568,0.026,0.007
109,Mn,25,La1,0.637,0.26,0.007
110,Mn,25,La2,0.637,0.029,0.007
114,Mn,25,Lb6,0.64,0.0023,0.0006
111,Mn,25,Lb1,0.648,0.2,0.05
112,Mn,25,Lb3,0.72,0.014,0.004
113,Mn,25,Lb4,0.72,0.009,0.003
106,Mn,25,Ka2,5.888,9.3,0.4
105,Mn,25,Ka1,5.899,18.3,0.8
107,Mn,25,Kb1,6.49,2.14,0.1
108,Mn,25,Kb3,6.49,1.09,0.05
129,Fe,26,Ll,0.615,0.04,0.011
128,Fe,26,Ln,0.628,0.028,0.007
123,Fe,26,La2,0.704,0.037,0.009
122,Fe,26,La1,0.704,0.33,0.08
127,Fe,26,Lb6,0.708,0.0022,0.0006
124,Fe,26,Lb1,0.717,0.25,0.06
126,Fe,26,Lb4,0.792,0.01,0.003
125,Fe,26,Lb3,0.792,0.016,0.005
118,Fe,26,Ka2,6.391,10.2,0.5
117,Fe,26,Ka1,6.404,20.2,0.9
120,Fe,26,Kb3,7.058,1.23,0.006
119,Fe,26,Kb1,7.058,2.4,0.11
121,Fe,26,Kb5,7.108,0.00127,7E-05
142,Co,27,Ll,0.678,0.043,0.011
141,Co,27,Ln,0.693,0.028,0.007
136,Co,27,La2,0.776,0.045,0.011
135,Co,27,La1,0.776,0.41,0.1
140,Co,27,Lb6,0.779,0.0022,0.0006
137,Co,27,Lb1,0.791,0.31,0.08
138,Co,27,Lb3,0.866,0.018,0.005
139,Co,27,Lb4,0.866,0.012,0.004
131,Co,27,Ka2,6.915,11.2,0.5
130,Co,27,Ka1,6.93,22.1,1
132,Co,27,Kb1,7.649,2.65,0.12
133,Co,27,Kb3,7.649,1.36,0.06
134,Co,27,Kb5,7.706,0.00188,0.00011
155,Ni,28,Ll,0.743,0.045,0.012
154,Ni,28,Ln,0.76,0.026,0.007
149,Ni,28,La2,0.851,0.056,0.014
148,Ni,28,La1,0.851,0.5,0.13
153,Ni,28,Lb6,0.855,0.0022,0.0006
150,Ni,28,Lb1,0.868,0.34,0.09
152,Ni,28,Lb4,0.94,0.013,0.004
151,Ni,28,Lb3,0.94,0.02,0.006
144,Ni,28,Ka2,7.461,12.2,0.6
143,Ni,28,Ka1,7.478,24,1.1
146,Ni,28,Kb3,8.265,1.48,0.07
145,Ni,28,Kb1,8.265,2.88,0.13
147,Ni,28,Kb5,8.329,0.00264,0.00015
167,Cu,29,Ll,0.811,0.048,0.013
166,Cu,29,Ln,0.831,0.028,0.007
162,Cu,29,La2,0.929,0.066,0.017
161,Cu,29,La1,0.929,0.6,0.15
163,Cu,29,Lb1,0.949,0.39,0.1
165,Cu,29,Lb4,1.022,0.014,0.004
164,Cu,29,Lb3,1.022,0.021,0.006
157,Cu,29,Ka2,8.028,13.3,0.06
156,Cu,29,Ka1,8.048,26,1.2
159,Cu,29,Kb3,8.905,1.59,0.07
158,Cu,29,Kb1,8.905,3.1,0.14
160,Cu,29,Kb5,8.977,0.00365,0.00021
180,Zb,30,Ll,0.884,0.047,0.01
179,Zb,30,Ln,0.907,0.029,0.007
173,Zb,30,La1,1.012,0.65,0.13
174,Zb,30,La2,1.012,0.072,0.015
178,Zb,30,Lb6,1.02,0.0021,0.0004
175,Zb,30,Lb1,1.035,0.42,0.11
176,Zb,30,Lb3,1.107,0.023,0.007
177,Zb,30,Lb4,1.107,0.015,0.005
169,Zb,30,Ka2,8.616,14.3,0.5
168,Zb,30,Ka1,8.639,28,1
171,Zb,30,Kb3,9.572,1.74,0.06
170,Zb,30,Kb1,9.572,3.39,0.12
172,Zb,30,Kb5,9.651,0.00504,0.00025
195,Ga,31,Ll,0.957,0.048,0.01
194,Ga,31,Ln,0.984,0.03,0.008
188,Ga,31,La2,1.098,0.077,0.016
187,Ga,31,La1,1.098,0.7,0.14
192,Ga,31,Lb6,1.114,0.0027,0.0005
189,Ga,31,Lb1,1.125,0.46,0.12
191,Ga,31,Lb4,1.191,0.016,0.005
190,Ga,31,Lb3,1.195,0.024,0.007
193,Ga,31,Lg3,1.297,0.0012,0.0004
182,Ga,31,Ka2,9.225,15.2,0.6
181,Ga,31,Ka1,9.252,29.8,1.1
185,Ga,31,Kb3,10.26,1.9,0.07
183,Ga,31,Kb1,10.264,3.7,0.13
186,Ga,31,Kb5,10.35,0.0063,0.0003
184,Ga,31,Kb2,10.366,0.0314,0.0011
210,Ge,32,Ll,1.037,0.052,0.011
209,Ge,32,Ln,1.068,0.031,0.008
202,Ge,32,La1,1.188,0.81,0.16
203,Ge,32,La2,1.188,0.09,0.018
207,Ge,32,Lb6,1.212,0.0033,0.0007
204,Ge,32,Lb1,1.219,0.49,0.12
206,Ge,32,Lb4,1.286,0.016,0.005
205,Ge,32,Lb3,1.294,0.025,0.007
208,Ge,32,Lg3,1.412,0.0042,0.0013
197,Ge,32,Ka2,9.855,16.1,0.6
196,Ge,32,Ka1,9.886,31.3,1.1
200,Ge,32,Kb3,10.975,2.05,0.07
198,Ge,32,Kb1,10.982,3.98,0.14
201,Ge,32,Kb5,11.074,0.0078,0.0004
199,Ge,32,Kb2,11.101,0.097,0.004
225,As,33,Ll,1.12,0.053,0.011
224,As,33,Ln,1.155,0.031,0.008
217,As,33,La1,1.282,0.87,0.17
218,As,33,La2,1.282,0.096,0.019
222,As,33,Lb6,1.315,0.0038,0.0008
219,As,33,Lb1,1.317,0.52,0.13
221,As,33,Lb4,1.38,0.018,0.005
220,As,33,Lb3,1.386,0.027,0.008
223,As,33,Lg3,1.524,0.0047,0.0015
212,As,33,Ka2,10.508,16.8,0.6
211,As,33,Ka1,10.544,32.7,1.2
215,As,33,Kb3,11.72,2.19,0.08
213,As,33,Kb1,11.726,4.25,0.15
216,As,33,Kb5,11.826,0.0095,0.0005
214,As,33,Kb2,11.864,0.194,0.007
240,Se,34,Ll,1.204,0.056,0.012
239,Se,34,Ln,1.245,0.034,0.009
233,Se,34,La2,1.379,0.108,0.022
232,Se,34,La1,1.379,0.98,0.2
234,Se,34,Lb1,1.42,0.58,0.15
237,Se,34,Lb6,1.424,0.0045,0.0009
236,Se,34,Lb4,1.486,0.019,0.006
235,Se,34,Lb3,1.492,0.029,0.009
238,Se,34,Lg3,1.648,0.0051,0.0016
227,Se,34,Ka2,11.182,17.6,0.6
226,Se,34,Ka1,11.222,34.1,1.2
230,Se,34,Kb3,12.49,2.34,0.08
228,Se,34,Kb1,12.496,4.54,0.16
231,Se,34,Kb5,12.601,0.0116,0.0006
229,Se,34,Kb2,12.652,0.323,0.012
256,Br,35,Ll,1.293,0.06,0.013
255,Br,35,Ln,1.339,0.036,0.009
248,Br,35,La2,1.48,0.121,0.024
247,Br,35,La1,1.481,1.09,0.22
252,Br,35,Lb6,1.523,0.0052,0.0011
249,Br,35,Lb1,1.526,0.64,0.16
251,Br,35,Lb4,1.593,0.02,0.006
250,Br,35,Lb3,1.601,0.029,0.009
254,Br,35,Lg3,1.777,0.0052,0.0016
253,Br,35,Lg2,1.777,0.0013,0.0004
242,Br,35,Ka2,11.878,18.4,0.07
241,Br,35,Ka1,11.924,35.6,1.3
245,Br,35,Kb3,13.284,2.5,0.09
243,Br,35,Kb1,13.292,4.84,0.17
246,Br,35,Kb5,13.404,0.0139,0.0007
244,Br,35,Kb2,13.469,0.484,0.018
272,Kr,36,Ll,1.383,0.063,0.014
271,Kr,36,Ln,1.435,0.037,0.009
264,Kr,36,La2,1.58,0.13,0.03
263,Kr,36,La1,1.581,1.2,0.24
265,Kr,36,Lb1,1.632,0.69,0.17
268,Kr,36,Lb6,1.647,0.006,0.0012
267,Kr,36,Lb4,1.699,0.02,0.006
266,Kr,36,Lb3,1.707,0.03,0.009
269,Kr,36,Lg2,1.906,0.0018,0.0006
270,Kr,36,Lg3,1.907,0.0054,0.0017
258,Kr,36,Ka2,12.598,19,0.7
257,Kr,36,Ka1,12.651,36.8,1.3
261,Kr,36,Kb3,14.104,2.64,0.1
259,Kr,36,Kb1,14.111,5.12,0.19
262,Kr,36,Kb5,14.231,0.0162,0.0008
260,Kr,36,Kb2,14.311,0.676,0.024
288,Rb,37,Ll,1.482,0.067,0.014
287,Rb,37,Ln,1.542,0.039,0.01
280,Rb,37,La2,1.693,0.15,0.03
279,Rb,37,La1,1.694,1.3,0.3
281,Rb,37,Lb1,1.752,0.75,0.19
284,Rb,37,Lb6,1.775,0.0069,0.0014
283,Rb,37,Lb4,1.818,0.022,0.007
282,Rb,37,Lb3,1.827,0.031,0.009
285,Rb,37,Lg2,2.05,0.0022,0.0007
286,Rb,37,Lg3,2.051,0.0058,0.0018
274,Rb,37,Ka2,13.336,19.7,0.7
273,Rb,37,Ka1,13.395,38,1.4
277,Rb,37,Kb3,14.952,2.78,0.1
275,Rb,37,Kb1,14.961,5.39,0.19
278,Rb,37,Kb5,15.089,0.0186,0.0009
276,Rb,37,Kb2,15.185,0.85,0.03
304,Sr,38,Ll,1.582,0.069,0.015
303,Sr,38,Ln,1.649,0.04,0.01
296,Sr,38,La2,1.805,0.16,0.03
295,Sr,38,La1,1.806,1.4,0.3
297,Sr,38,Lb1,1.872,0.81,0.2
300,Sr,38,Lb6,1.902,0.0079,0.0016
299,Sr,38,Lb4,1.936,0.022,0.007
298,Sr,38,Lb3,1.947,0.032,0.01
302,Sr,38,Lg3,2.196,0.0061,0.0019
301,Sr,38,Lg2,2.196,0.0027,0.0008
290,Sr,38,Ka2,14.098,20.3,0.7
289,Sr,38,Ka1,14.165,39.1,1.4
293,Sr,38,Kb3,15.825,2.91,0.1
291,Sr,38,Kb1,15.836,5.63,0.2
294,Sr,38,Kb5,15.971,0.0215,0.0011
292,Sr,38,Kb2,16.085,1,0.04
322,Y,39,Ll,1.686,0.073,0.016
321,Y,39,Ln,1.762,0.041,0.01
312,Y,39,La2,1.92,0.17,0.03
311,Y,39,La1,1.923,1.5,0.3
313,Y,39,Lb1,1.996,0.86,0.21
317,Y,39,Lb6,2.035,0.0088,0.0018
316,Y,39,Lb4,2.06,0.025,0.007
315,Y,39,Lb3,2.072,0.035,0.011
314,Y,39,Lb2,2.078,0.0044,0.0009
318,Y,39,Lg1,2.153,0.012,0.003
