energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.7,,0.30849,0.05085,,2.7,3390940.8,0.0,[M1],,,306,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
24,,0.11284,0.0186,0.00169,238.2,,213.4,[M2],,,807,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
39.76,0.01,0.06916,0.0011335894318491152,3366.84,39.756,,0.0,E3,,,1402,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
42.63,0.04,0.005187,0.000547455943432894,0.0000000001,650.093,,607.414,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
53.286,0.01,0.44317,0.010574562922409606,0.00000000111,93.041,3366.84,39.756,M1,,,2.08,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
62.41,0.03,0.0004368,0.0000365547479816234,,357.408,,294.964,M1,,,1.314,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
113.191,0.036,0.003185,0.0002740971543084678,0.0000000001,650.093,0.000000000039,536.838,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
114.87,0.013,0.007371,0.0004585192362376959,,651.798,0.000000000039,536.838,M1(+E2),,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
210.7,0.3,91,15,,213.4,,2.7,[M1],,,0.0408,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
213.4,0.3,5.096,0.84,,213.4,3390940.8,0.0,[E2],,,0.0866,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
241.875,0.01,0.014287,0.0002942906896250712,0.000000000039,536.838,,294.964,E1,,,0.0118,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
292.7,0.2,0.00091,0.0009100269226786645,0.0000000001,650.093,,357.408,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
294.964,0.01,0.28847,0.003518076320945866,,294.964,,0.0,M1+E2,-0.17,1,0.0191,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
317.72,0.05,0.0091,0.00007,,357.408,3366.84,39.756,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
357.382,0.023,0.008645,0.00037002466134029497,,357.408,,0.0,E2,,,0.01588,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
443.81,0.01,0.33943,0.004479611701922389,0.000000000039,536.838,0.00000000111,93.041,E2,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
497.085,0.01,91,1.2214749281094557,0.000000000039,536.838,3366.84,39.756,M1+E2,-0.368,11,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
514.365,0.012,0.006188,0.00010269741963652251,,607.414,0.00000000111,93.041,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
