energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
19.8,0.06,0.020424,0.0009118075454831463,0.0000000000132,463.365,0.0000000000191,443.554,[M1],,,10.93,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
35.489,0.005,4.37488,0.04522045997112369,0.000000001482,35.491,,0.0,M1+E2,0.031,3,13.69,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
58.43,0.05,0.012432,0.005921340726558471,,,,,,,,,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
61.85,0.16,0.002072,0.0008882482761030274,0.00000000016,525.227,0.0000000000132,463.365,[E1],,,0.750,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
81.02,0.04,0.005032,0.00030036144892445834,,402.09,0.000000000672,321.090,E1,,,0.354,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
110.895,0.012,0.001036,0.00011886467094978222,0.00000000004,636.090,0.00000000016,525.227,[E1],,,0.1468,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
116.955,0.011,0.262552,0.0037653442073733445,0.00000000007,642.204,0.00000000016,525.227,E1,,,0.1264,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
132.81,0.14,0.0008584,0.0005624672879377075,0.00000000000126,671.443,,538.60,[E2],,,0.624,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
172.719,0.008,0.191216,0.007363603737301458,0.00000000004,636.090,0.0000000000132,463.365,M1(+E2),-0.004,8,0.1484,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
176.314,0.002,6.84056,0.0708920933532083,0.000000000672,321.090,4959360,144.776,M1+E2,-0.60,2,0.164,,51,74,Sb,,0,,7/2+,2.75856,,25,Y,87051673.71647051,7889.231493648,B-,100,,766.7,21,52,73,Te,1-Jan-2010,J. KATAKURA,2026-06-07
