energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
22,1,,,0.0000037,2722.8,,2700.53,[E2],,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
49.72,0.01,14.96,0.5742786779952743,0.00000000714,49.72,,0.0,M1,,,5.71,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
103.4,0.1,39.7,0,0.000000145,1774.31,,1670.91,E2,,,1.52,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
111.76,0.08,1.7424,0.07392130951221035,0.00000000357,161.52,0.00000000714,49.72,M1+E2,0.58,10,0.71,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
116.3,0.08,1.9624,0.08522587635219717,0.00000000142,277.86,0.00000000357,161.52,M1+E2,0.60,9,0.64,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
150.7,0.1,,,0.0000281,1924.99,0.000000145,1774.31,E1,,,0.0622,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
228.16,0.06,88,3.4781604333325395,0.00000000142,277.86,0.00000000714,49.72,E2,,,0.100,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
696.9,0.1,99.7,0,,1670.91,,974.00,E2,,,0.00341,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
775.6,0.2,13,3,,2700.53,0.0000281,1924.99,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
798,,2,1,0.0000037,2722.8,0.0000281,1924.99,[E3],,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
926.2,0.1,13,3,,2700.53,0.000000145,1774.31,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
974,0.1,99.8,0,,974.00,,0.0,E2,,,0.00154,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
4.135,,4.622345508636,0.21876280033306536,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
4.335,,7.934537561632,0.6543942386218947,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
27.202,,10.699656586258985,0.332512186113192,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
27.473,,19.924872600109843,0.6122159097905797,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
28.318,,20.675625756214114,1.668175259183812,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
28.613,,38.40197948776767,3.093258513022578,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
31.093,,5.70215144916284,0.18576743726211456,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
31.359,,6.939518313631177,0.2242740241682159,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
31.698,,1.2373668644683362,0.049374923219809734,,,,,,,,,,52,80,Te,,2723.3,0.8,(10+),3.70,,9,us,0.0000037,0.00000009,IT,100,,,,52,80,Te,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
32.395,,11.063799481254662,0.8990012888052584,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
32.68,,13.564218164018216,1.100786454240863,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07
33.04,,2.5004186827635535,0.2105706154882427,,,,,,,,,,52,80,Te,,0,,0+,3.204,,13,d,276825.6,1123.2,B-,100,,515,3,53,79,I,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2026-06-07

