energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
74.05,0.01,4.07,0.06,9,1634.148,,1560.103,(M2),,,23.6,,53,80,I,,1634.148,0.01,(19/2-),9,,2,s,9,2,IT,100,,,,53,80,I,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
150.39,,0.02958,0.006111317370256597,,680.254,,529.872,[M1+E2],,,0.35,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
176.97,0.07,0.0783,0.01745229211307214,,,,,,,,,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
203.7,,0.00435,0.000075,,1589.94,,1386.153,[M1+E2],,,0.132,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
233.221,0.015,0.29406,0.008610836196328438,189907.2,233.221,453384,0.0,M4+E5,0.10,8,8.88,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
245.95,0.08,0.0348,0.00872066511224918,,1298.234,,1052.297,[M1+E2],,,0.074,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
262.702,0.006,0.35931,0.011400128288751843,,262.702,453384,0.0,M1,,,0.0577,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
267.173,0.019,0.11745,0.006417844264237019,,529.872,,262.702,E2,,,0.0609,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
345.43,0.05,0.1044,0.017492855684535902,,875.331,,529.872,[M1+E2],,,0.0275,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
361.09,0.05,0.1131,0.0348545908023606,,1236.449,,875.331,[M1+E2],,,0.0243,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
372.05,0.15,0.00957,0.005222607107566105,,1052.297,,680.254,[M1+E2],,,0.0223,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
381.59,0.07,0.04524,0.004419377784258775,,911.45,,529.872,M1+E2,,,0.0208,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
386.85,0.05,0.05916,0.004467986123523662,,1298.234,,911.45,[M1+E2],,,0.0201,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
417.56,,0.15399,0.010772308248467456,,680.254,,262.702,M1+E2,1.0,13,0.0163,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
422.91,0.012,0.31146,0.01022383978747711,,1298.234,,875.331,M1+E2,1.8,12,0.0151,,53,80,I,,0,,7/2+,20.83,,8,h,74988,288,B-,100,,1786,6,54,79,Xe,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2026-06-07
