energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
165.8575,0.0011,79.9,0.05,0.000000001499,165.8576,,0.0,M1,,,0.2516,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
754.24,0.08,92.6,,57.58,754.24,,0.0,M4,,,0.0800,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
5.185,,11.948643569196676,0.5177910525584041,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
5.41,,0.795755,0.033204446344428026,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
33.034,,22.49387034509511,0.21937796549636468,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
33.442,,41.3186450130329,0.3555048168561279,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
34.279,,1.5600423311932428,0.0232634117393868,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
34.72,,2.857220386800811,0.040548770085346575,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
37.908,,12.304153001216065,0.17155630928365476,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
38.273,,15.417103710523728,0.20596849503641929,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
38.725,,3.1129507093076643,0.07529070138709368,,,,,,,,,,58,81,Ce,,0,,3/2+,137.63,,3,d,11891232,2592,EC,100,,264.6,22,57,82,La,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
39.366,,0.8605560462567364,0.01537984582536754,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
39.753,,1.0791372820059475,0.018800225490955808,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07
40.229,,0.21858123574921104,0.005811584144553557,,,,,,,,,,58,81,Ce,,754.24,0.08,11/2-,57.58,,32,s,57.58,0.32,IT,100,,,,58,81,Ce,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2026-06-07

