energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0.91,,,,0.00000005,100.88,,99.950,[M1 E2],,,,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
7.1,,,,,136.8,,129.660,[E1],,,,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
8.6,,,,2760,145.3,,136.8,[E3],,,,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
9.3,,0.00018,0.0002,,136.8,,127.46,[M1 E2],,,7.E4,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
27.51,0.05,0.888,0.3193994364428341,,127.46,,99.950,M1+E2,0.032,9,13.1,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
28.78,0.02,1.073,0.46707708143303284,,129.660,0.00000005,100.88,E1,,,1.501,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
31.78,0.01,5.55,1.3396268137059664,,99.950,0.0000041,68.17,M1+E2,0.030,3,8.43,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
32.61,,0.0814,0.015627219842313606,0.00000005,100.88,0.0000041,68.17,E2,,,269,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
35.802,,12.58,3.4134440086223767,,136.8,0.00000005,100.88,M1+E2,0.09,2,7.0,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
58.4,,0.0039,0.0004,,1719.560,,1660.910,[E1],,,1.215,,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-06-07
68.17,0.01,37,5,0.0000041,68.17,,0,E1,,,0.793,,63,91,Eu,,145.3,0.3,8-,46.3,,4,m,2778,24,IT,100,,,,63,91,Eu,1-May-2008,C. W. Reich,2026-06-07
80.4,,0.0028,0.0014,,1127.804,,1047.584,[M1 E2],,,4.7,,63,91,Eu,,0,,3-,8.601,,10,Y,271421120.3074658,315569.25974592,B-,99.982,0.012,1968.0,8,64,90,Gd,1-May-2008,C. W. Reich,2026-06-07
