energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
40.35,0.003,5.11768,0.09250903523440292,0.0000000255,99.361,,59.010,M1+E2,0.145,6,17.7,,75,111,Re,,148.2,0.5,(8+),2.0E+5,,,Y,6311385194918.4,,IT,100,,,,75,111,Re,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
48.84,0.5,0.0000208,0.0000017,6311385194918.4,148.2,0.0000000255,99.361,(E5),,,4.8E6,,75,111,Re,,148.2,0.5,(8+),2.0E+5,,,Y,6311385194918.4,,IT,100,,,,75,111,Re,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
59.009,0.004,18.1101,0.3512467651096591,,59.010,321278.4,0.0,M1+E2,0.042,10,4.21,,75,111,Re,,148.2,0.5,(8+),2.0E+5,,,Y,6311385194918.4,,IT,100,,,,75,111,Re,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
99.362,0.004,1.09021,0.04856876568330721,0.0000000255,99.361,321278.4,0.0,E2,,,4.23,,75,111,Re,,148.2,0.5,(8+),2.0E+5,,,Y,6311385194918.4,,IT,100,,,,75,111,Re,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
122.64,0.02,0.6026,0.0025,0.00000000104,122.64,,0.0,E2,,,1.767,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,EC,7.5,0.1,581.3,15,74,112,W,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
137.15,0.05,9.47,0.03,0.000000000868,137.15,6.3113851949184e22,0.0,E2,,,1.271,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,B-,92.5,0.1,1072.7,8,76,110,Os,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
143.17,0.05,0.00000074,0.00000025,,910.6,,767.47,M1+E2,0.7,,1.772,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,B-,92.5,0.1,1072.7,8,76,110,Os,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
296.9,0.4,0.000053,0.000015,,434.1,0.000000000868,137.15,E2,,,0.0942,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,B-,92.5,0.1,1072.7,8,76,110,Os,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
333.4,0.4,0.000062,0.000015,,767.47,,434.1,[E2],,,0.0671,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,B-,92.5,0.1,1072.7,8,76,110,Os,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
476.4,0.05,0.0000015,0.0000005,,910.6,,434.1,E2+M1,-22,10,0.0258,,75,111,Re,,0,,1-,3.7185,,5,d,321278.4,43.2,B-,92.5,0.1,1072.7,8,76,110,Os,1-Mar-2022,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,2026-06-07
