energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
31.14,0.03,0.07056,0.00486982710165361,,31.130,,0.0,M1+E2,0.09,2,187,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
43.1,,0.065184,0.001164,0.00000000004,117.84,0.00000000139,74.660,M1+E2,0.38,,154.4,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
43.53,0.02,5.90016,0.14581278956250718,0.00000000139,74.660,,31.130,E1,,,1.143,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
50.6,,0.0029568,0.0000528,,173.02,,122.4,[E1],,,0.769,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
55.4,,0.0103488,0.0001848,,173.02,0.00000000004,117.84,M1+E2,0.6,2,8.E1,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
68.1,,0.0000336,0.0000008,,240.8,,173.02,[E2],,,89.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
71.2,,,,,71.5,,0.0,[E2],,,72.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
74.66,0.02,67.2,1.2,0.00000000139,74.660,,0.0,E1,,,0.276,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
86.71,0.02,0.34608,0.010700939024216519,0.00000000004,117.84,,31.130,E1,,,0.186,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
98.5,,0.009408,0.000168,,173.02,0.00000000139,74.660,(E2),,,15.56,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
117.6,0.15,0.56448,0.08126755810284939,0.00000000004,117.84,,0.0,E1,,,0.0842,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
141.89,0.03,0.114912,0.008320985518554879,,173.02,,31.130,E1,,,0.224,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
169,,0.001344,0.000024,,240.8,,71.5,[E1],,,0.1489,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
195,,0.0009408,0.0000168,,317.4,,122.4,[E1],,,0.1067,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
220,,,,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
544.58,,,,,662.2,0.00000000004,117.84,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
587.77,,,,,662.2,0.00000000139,74.660,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
631.09,,0.000336,0.000006,,662.2,,31.130,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
662.24,,0.0011424,0.0000204,,662.2,,0.0,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
17.136,,18.96184623110475,,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
97.078,,0.005768722934729564,0.00042302666313092437,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
101.068,,0.00918294004254945,0.0006724025221643999,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
114.16,,0.003348549520953113,0.00025167701595628025,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2026-06-07
