energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
344.95,0.2,0.00253,0.00018,,1115.549,,770.64,[E2],,,0.00621,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
770.6,0.2,0.00268,0.00022,,770.64,,0.0,M1+E2,0.097,3,0.000384,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
1115.539,0.002,50.04,0.1,,1115.549,,0.0,M1+E2,-0.450,16,0.000185,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
511,,2.842,,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
0.952,,1.2409209724619696,0.051253439314004376,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
8.028,,11.763989923311671,0.12202097355546747,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
8.048,,22.91835169162609,0.2098822134556906,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
8.94,,4.824313718637843,0.06516124294517184,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01
8.94,,4.824313718637843,0.06516124294517184,,,,,,,,,,30,35,Zn,,0,,5/2-,243.93,,9,d,21075552,7776,EC+B+,100,,1351.7,9,29,36,Cu,1-Aug-2009,E. BROWNE and  J. K. TULI,2026-06-01

