energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
231.929,0.025,98.09,0,0.0000000008,231.929,9212486.4,0.0,M1,,,0.0191,,39,49,Y,,674.55,0.04,8+,13.98,,17,ms,0.01398,0.00017,IT,100,,,,39,49,Y,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
392.87,0.09,97.21,0,0.000301,392.86,9212486.4,0.0,E3,,,0.0279,,39,49,Y,,392.86,0.09,1+,0.301,,3,ms,0.000301,0.000003,IT,100,,,,39,49,Y,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
442.62,0.03,98.22,0,0.01398,674.55,0.0000000008,231.93,E3,,,0.01776,,39,49,Y,,674.55,0.04,8+,13.98,,17,ms,0.01398,0.00017,IT,100,,,,39,49,Y,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
850.6,0.8,0.0654984,0.012901282722272232,,3584.7,,2734.130,E2,,,0.000853,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
898.042,0.003,93.68256,0.3049651862098361,,2734.130,,1836.083,E1(+M2),-0.002,9,0.00032,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
1382.2,1,0.0208404,0.005954418145377431,,3218.6,,1836.083,(M1+E2),0.04,2,0.000325,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
1836.063,0.012,99.24,0.3058385168679707,,1836.083,,0.0,E2,,,0.000140,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
2734,0.5,0.714528,0.06946982827098394,,2734.130,,0.0,[E3],,,0.000564,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
3219.7,2,0.00704604,0.0019848062225063683,,3218.6,,0.0,E2,,,0.000931,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
511,,0.42,,,,,,,,,,,39,49,Y,,0,,4-,106.626,,21,d,9212486.4,1814.4,EC+B+,100,,3622.6,15,38,50,Sr,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2026-06-01
