energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
204.1161,0.0017,0.028,0.009,0.000000000751,204.116,,0.0,M1+E2,-0.62,7,0.052,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
204.1161,0.0017,0.9553,0.0656,,204.116,,0.0,M1+E2,-0.62,7,0.052,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
218.64,0.008,0.0000000233,0.0000000016,,1039.269,,820.628,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
235.69,0.02,24.8,0.8,311904,235.690,3023222.4,0.0,M4,,,2.78,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
253.07,0.003,0.000000466,0.000000032,,1039.269,,786.201,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
561.88,,0.015,0.003,,765.803,0.000000000751,204.116,(E2),,,0.00338,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
582.0775,0.0021,0.019805,0.00136,,786.201,,204.116,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
616.507,0.008,0.00003961,0.0000027200000000000002,,820.628,,204.116,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
765.803,0.006,99.808,0.007,,765.803,,0.0,M1+E2,-0.14,9,0.001445,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
786.1922,0.0027,0.005592,0.000384,,786.201,,0.0,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
820.622,0.007,0.00014213,0.00000976,,820.628,,0.0,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
835.146,0.006,0.0000233,0.0000016,,1039.269,,204.116,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
1039.26,0.006,0.00000233,0.00000016,,1039.269,,0.0,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
2.299,,2.510153584,0.17245152613284123,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
2.44,,0.001892716793553,0.00015237663748119746,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
2.44,,0.0055771043805924,0.0001515992274256138,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
16.521,,12.63733141906527,0.9534791734033708,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
16.615,,24.13546871479234,1.817356881487401,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
17.374,,0.028241368953309264,0.0004551058463057609,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
17.374,,0.00944569402281335,0.0008122126285699487,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
17.479,,0.05382384020070376,0.0008285851071620459,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
17.479,,0.01800208504443177,0.0015455780187543515,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
18.694,,6.244980753167297,0.47367858542567187,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
18.795,,7.181727866142391,0.5438347036687561,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
18.951,,0.9367471129750945,0.07761025168578069,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,IT,94.4,0.6,,,41,54,Nb,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.681,,0.014123180708827543,0.000251843265149182,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.681,,0.0047236819087997225,0.0004077759741563556,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.794,,0.00545112892275488,0.00046998038823879804,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.794,,0.016298150537986982,0.00028191757959694793,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.963,,0.0021749698291594417,0.00008056546313155474,,,,,,,,,,41,54,Nb,,0,,9/2+,34.991,,6,d,3023222.4,518.4,B-,100,,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07
19.963,,0.0007274470139551572,0.00006709214021150196,,,,,,,,,,41,54,Nb,,235.69,0.02,1/2-,3.61,,3,d,311904,2592,B-,5.6,0.6,925.6,5,42,53,Mo,30-Jun-2009,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,2026-06-07

