library_energy_keV,area_counts,area_uncertainty_counts,activity,activity_uncertainty,verdict
209.253,83000,4000,3870,4,
238.632,668000,3000,3100,22,blue-selected
328.000,30800,2700,2660,9,
338.320,128800,2400,3000,16,
463.004,14800,1600,1130,11,
510.770,36800,1600,1650,16,
583.187,222200,1900,3000,15,
911.204,114300,1200,2700,16,
964.766,59000,8000,7600,13,outlier
968.971,34000,8000,1400,22,
1588.200,10400,4000,3300,13,
1620.500,<13000,,<9000,,upper-limit
1630.627,<13000,,<8900,,upper-limit
2614.511,55300,600,2700,28,
