n,channel,energy_keV,library_energy_keV,energy_uncertainty_keV,fwhm_keV,fwhm_pct,area_counts,area_uncertainty_counts,count_rate_cps,nuclide,compton_max_keV,library_intensity_pct,backscatter_keV,step_per_keV
1,76.049,208.129,209.253,2.215,21.644,10.399,82096,9143,7.23,Th-232,93.432,3.89,114.697,0.000602
2,86.162,237.508,238.632,2.006,24.029,10.117,667390,7872,58.75,Th-232,114.420,43.6,123.088,0.000602
3,117.128,327.625,328.000,1.576,29.292,8.941,32694,6332,2.88,Th-232,184.074,2.95,143.551,0.00127
4,120.669,337.944,338.320,1.545,29.881,8.842,126533,5658,11.14,Th-232,192.446,11.3,145.498,0.00127
5,162.463,459.984,463.004,2.147,34.666,7.536,15705,4430,1.38,Th-232,295.723,4.4,164.261,0.00076
6,178.780,507.747,510.770,2.260,36.835,7.255,38092,4872,3.35,Th-232,337.776,8.12,169.970,0.00076
7,203.446,580.077,583.187,1.997,43.116,7.433,221297,2810,19.48,Th-232,402.703,30.5,177.374,-0.00188
8,312.016,900.228,911.204,3.499,55.823,6.201,113910,2469,10.03,Th-232,701.212,25.8,199.016,-0.00184
9,330.078,953.774,964.766,3.698,58.215,6.104,59409,15091,5.2,Th-232,752.257,4.99,201.517,-0.00184
10,331.495,957.978,968.971,3.713,58.402,6.096,33763,14869,3.0,Th-232,756.274,15.8,201.704,-0.00184
11,539.733,1581.207,1588.200,4.697,90.683,5.735,20903,1508,1.84,Th-232,1361.249,3.22,219.958,0.00564
12,550.426,1613.500,1620.500,4.672,92.009,5.702,551,4739,0.05,Th-232,1392.928,1.47,220.572,0.00564
13,553.777,1623.624,1630.627,4.663,92.419,5.692,5127,3820,0.45,Th-232,1402.864,1.51,220.760,0.00564
14,876.829,2612.857,2614.511,2.215,112.796,4.317,55491,1091,4.885,Th-232,2380.116,35.9,232.741,0.000357
